time,open,high,low,close,Volume
2024-05-05T23:45:00Z,18013.25,18013.5,18000.75,18005,1629
2024-05-06T00:00:00Z,18005,18014.5,18002.75,18006.25,1261
2024-05-06T00:15:00Z,18006.25,18007,17995.5,17999.5,1350
2024-05-06T00:30:00Z,17999.75,18004.5,17995,18003,834
2024-05-06T00:45:00Z,18003,18007.5,18000.5,18006,495
2024-05-06T01:00:00Z,18006,18011,18004,18010.25,568
2024-05-06T01:15:00Z,18010.5,18012,18005,18007.75,576
2024-05-06T01:30:00Z,18007.75,18011.5,18006.75,18007.75,451
2024-05-06T01:45:00Z,18007.75,18012,17999.25,18011,909
2024-05-06T02:00:00Z,18011.5,18014.5,18009,18011,574
2024-05-06T02:15:00Z,18011.25,18013.5,18007,18011.5,364
2024-05-06T02:30:00Z,18011,18011.25,18005,18006.75,323
2024-05-06T02:45:00Z,18008,18008.5,18004.25,18005.5,239
2024-05-06T03:00:00Z,18005.25,18007.5,18001,18002.75,402
2024-05-06T03:15:00Z,18002.25,18004.5,17999.75,18000.75,275
2024-05-06T03:30:00Z,18002,18007.5,17998.5,18007,416
2024-05-06T03:45:00Z,18007.25,18007.75,18003.5,18005.5,253
2024-05-06T04:00:00Z,18006,18006.5,18000,18001,243
2024-05-06T04:15:00Z,18001.5,18002,17997,17999.25,298
2024-05-06T04:30:00Z,17999.25,18000.5,17996.25,17997,240
2024-05-06T04:45:00Z,17997.25,17997.75,17989.5,17995,562
2024-05-06T05:00:00Z,17994.25,17998.75,17992,17997,650
2024-05-06T05:15:00Z,17996.5,17997,17984.5,17986.5,746
2024-05-06T05:30:00Z,17986.25,17996.5,17983.75,17996,700
2024-05-06T05:45:00Z,17996.5,18000,17990.5,17995.75,503
2024-05-06T06:00:00Z,17995.5,18004.5,17995.5,18001.5,823
2024-05-06T06:15:00Z,18002.25,18013,18001.75,18010.25,987
2024-05-06T06:30:00Z,18010.5,18020.75,18008,18018.75,1212
2024-05-06T06:45:00Z,18019,18023,18016.75,18018.25,804
2024-05-06T07:00:00Z,18018.5,18026.25,18015.5,18025.25,1273
2024-05-06T07:15:00Z,18025.75,18028.75,18006.25,18009.5,1750
2024-05-06T07:30:00Z,18009.5,18024.5,18008.25,18019.75,1610
2024-05-06T07:45:00Z,18020.25,18020.5,18000.5,18000.75,1689
2024-05-06T08:00:00Z,18001,18019.25,18000.5,18018.25,1749
